,0,1
0,absorb ,v.
1,abstract ,adj.
2,accent ,n.
3,accidentally ,adv.
4,accommodate ,v.
5,accommodation ,n.
6,accomplish ,v.
7,accountant ,n.
8,accuracy ,n.
9,accurately ,adv.
10,acid ,n.
11,acre ,n.
12,activate ,v.
13,addiction ,n.
14,additionally ,adv.
15,adequate ,adj.
16,adequately ,adv.
17,adjust ,v.
18,affordable ,adj.
19,aged ,adj.
20,agriculture ,n.
21,AIDS ,n.
22,alien ,n.
23,alongside ,prep.
24,altogether ,adv.
25,ambitious ,adj.
26,ambulance ,n.
27,amusing ,adj.
28,analyst ,n.
29,ancestor ,n.
30,animation ,n.
31,annually ,adv.
32,anticipate ,v.
33,anxiety ,n.
34,apology ,n.
35,applicant ,n.
36,appropriately ,adv.
37,arrow ,n.
38,artwork ,n.
39,asset ,n.
40,assign ,v.
41,assistance ,n.
42,assumption ,n.
43,assure ,v.
44,astonishing ,adj.
45,athletic ,adj.
46,attachment ,n.
47,audio ,adj.
48,awareness ,n.
49,awkward ,adj.
50,badge ,n.
51,balanced ,adj.
52,ballet ,n.
53,balloon ,n.
54,barely ,adv.
55,bargain ,n.
56,basement ,n.
57,basket ,n.
58,bat ,n.
59,beneficial ,adj.
60,beside ,prep.
61,besides ,"prep., adv."
62,bias ,n.
63,bid ,"n., v."
64,biological ,adj.
65,blanket ,n.
66,blow ,n.
67,bold ,adj.
68,bombing ,n.
69,boost ,"v., n."
70,bound ,adj.
71,brick ,n.
72,briefly ,adv.
73,broadcaster ,n.
74,broadly ,adv.
75,buck ,n.
76,bug ,n.
77,cabin ,n.
78,canal ,n.
79,candle ,n.
80,carbon ,n.
81,castle ,n. B2
82,casual ,adj.
83,cave ,n.
84,certainty ,n.
85,certificate ,n.
86,challenging ,adj.
87,championship ,n.
88,charming ,adj.
89,chase ,"v., n."
90,cheek ,n.
91,cheer ,"v., n."
92,chop ,v.
93,circuit ,n.
94,civilization ,n.
95,clarify ,v.
96,classify ,v.
97,cliff ,n.
98,clinic ,n.
99,clip ,n.
100,coincidence ,n.
101,collector ,n.
102,colony ,n.
103,colorful ,adj.
104,comic ,"adj., n."
105,commander ,n.
106,comparative ,adj.
107,completion ,n.
108,compose ,v.
109,composer ,n.
110,compound ,n.
111,comprehensive ,adj.
112,comprise ,v.
113,compulsory ,adj.
114,concrete ,"adj., n."
115,confess ,v.
116,confusion ,n.
117,consequently ,adv.
118,conservation ,n.
119,considerable ,adj.
120,considerably ,adv.
121,consistently ,adv.
122,conspiracy ,n.
123,consult ,v.
124,consultant ,n.
125,consumption ,n.
126,controversial ,adj.
127,controversy ,n.
128,convenience ,n.
129,convention ,n.
130,conventional ,adj.
131,convey ,v.
132,convincing ,adj.
133,cop ,n.
134,cope ,v.
135,corporation ,n.
136,corridor ,n.
137,counter , n.
138,coverage ,n.
139,cowboy ,n.
140,crack ,"v., n."
141,craft ,n.
142,creativity ,n.
143,critically ,adv.
144,cruise ,"n., v."
145,cue ,n.
146,curious ,adj.
147,curriculum ,n.
148,cute ,adj.
149,dairy ,"n., adj."
150,dare ,v.
151,darkness ,n.
152,database ,n.
153,deadline ,n.
154,deadly ,adj.
155,dealer ,n.
156,deck ,n.
157,defender ,n.
158,delete ,v.
159,delighted ,adj. B2
160,democracy ,n.
161,democratic ,adj.
162,demonstration ,n.
163,depart ,v.
164,dependent ,adj.
165,deposit ,"n., v."
166,depression ,n.
167,derive ,v.
168,desperately ,adv.
169,destruction ,n.
170,determination ,n.
171,devote ,v.
172,differ ,v.
173,dime ,n.
174,disability ,n.
175,disabled ,adj.
176,disagreement ,n.
177,disappoint ,v.
178,disappointment ,n.
179,discourage ,v.
180,disorder ,n.
