,0,1
0,"a, an", indefinite article
1,about ,"prep., adv."
2,above ,"prep., adv."
3,across ,"prep., adv."
4,action ,n.
5,activity ,n.
6,actor ,n.
7,actress ,n.
8,add ,v.
9,address ,n.
10,adult ,n.
11,advice ,n.
12,afraid ,adj.
13,after ,prep.
14,afternoon ,n.
15,again ,adv.
16,age ,n.
17,ago ,adv.
18,agree ,v.
19,air ,n.
20,airport ,n.
21,all ,"det., pron."
22,also ,adv.
23,always ,adv.
24,amazing ,adj.
25,and ,conj.
26,angry ,adj.
27,animal ,n.
28,another ,det./pron.
29,answer ,"n., v."
30,any ,"det., pron."
31,anyone ,pron.
32,anything ,pron.
33,apartment ,n.
34,apple ,n.
35,April ,n.
36,area ,n.
37,arm ,n.
38,around ,"prep., adv."
39,arrive ,v.
40,art ,n.
41,article ,n.
42,artist ,n.
43,as ,prep.
44,ask ,v.
45,at ,prep.
46,August ,n.
47,aunt ,n.
48,away ,adv.
49,awesome ,adj. 
50,baby ,n.
51,back ,"n., adv."
52,bad ,adj.
53,bag ,n.
54,ball ,n.
55,banana ,n.
56,band ,n.
57,bank , n.
58,bar ,n.
59,baseball ,n.
60,basketball ,n.
61,bath ,n.
62,bathroom ,n.
63,be ,"v., auxiliary v."
64,beach ,n.
65,beautiful ,adj.
66,because ,conj.
67,become ,v.
68,bed ,n.
69,bedroom ,n.
70,beer ,n.
71,before ,prep.
72,begin ,v.
73,beginning ,n.
74,behind ,"prep., adv."
75,believe ,v.
76,below ,"adv., prep."
77,best ,adj.
78,better ,adj.
79,between ,prep.
80,bicycle ,n.
81,big ,adj.
82,bike ,n.
83,bill ,n.
84,bird ,n.
85,birthday ,n.
86,black ,"adj., n."
87,blog ,n.
88,blond ,adj.
89,blue ,"adj., n."
90,boat ,n.
91,body ,n.
92,book ,n.
93,boot ,n.
94,bored ,adj.
95,boring ,adj.
96,born ,v.
97,both ,det./pron.
98,bottle ,n.
99,box ,n.
100,boy ,n.
101,boyfriend ,n.
102,bread ,n.
103,break ,"v., n."
104,breakfast ,n.
105,bring ,v.
106,brother ,n.
107,brown ,"adj., n."
108,build ,v.
109,building ,n.
110,bus ,n.
111,business ,n.
112,busy ,adj.
113,but ,conj.
114,butter ,n.
115,buy ,v.
116,by ,prep.
117,bye ,exclam.
118,cafe ,n.
119,cake ,n.
120,call ,"v., n."
121,camera ,n.
122,can,modal v.
123,cannot ,modal v.
124,capital ,"n., adj."
125,car ,n.
126,card ,n.
127,career ,n.
128,carrot ,n.
129,carry ,v.
130,cat ,n.
131,CD ,n.
132,cent ,n.
133,center ,n.
134,chair ,n.
135,change ,"v., n."
136,chart ,n.
137,cheap ,adj.
138,check ,v.
139,cheese ,n.
140,chicken ,n.
141,child ,n.
142,chocolate ,n.
143,choose ,v.
144,city ,n.
145,class ,n.
146,classroom ,n.
147,clean ,"adj., v."
148,climb ,v.
149,clock ,n.
150,close,v.
151,clothes ,n.
152,club ,n.
153,coat ,n.
154,coffee ,n.
155,cold ,"adj., n."
156,college ,n.
157,color ,n.
158,come ,v.
159,common ,adj.
160,company ,n.
161,compare ,v.
162,complete ,"adj., v."
163,computer ,n.
164,concert ,n.
165,conversation ,n.
166,cook ,v.
167,cooking ,n.
168,cool ,adj.
169,correct ,"adj., v."
170,cost ,"n., v."
171,could ,modal v.
172,country ,n.
173,course ,n.
174,cousin ,n.
175,cow ,n.
176,cream ,n.
177,create ,v.
178,culture ,n.
179,cup ,n.
180,customer ,n.
181,cut ,v.
182,dad ,n.
183,dance ,"n., v."
184,dancer ,n.
185,dancing ,n.
186,dangerous ,adj.
187,dark ,adj.
188,date ,n.
189,daughter ,n.
190,day ,n.
191,dear ,adj.
192,December ,n.
193,decide ,v.
194,delicious ,adj.
195,describe ,v.
196,description ,n.
197,design ,"n., v."
198,desk ,n.
199,detail ,n.
200,dialogue ,n.
201,dictionary ,n.
202,die ,v.
203,diet ,n.
204,difference ,n.
205,different ,adj.
206,difficult ,adj.
207,dinner ,n.
208,dirty ,adj.
209,discuss ,v.
210,dish ,n.
211,do,"v., auxiliary v."
212,doctor ,n.
213,dog ,n.
214,dollar ,n.
215,door ,n.
216,down ,"adv., prep."
217,downstairs ,adv.
218,draw ,v.
219,dress ,"n., v."
220,drink ,"n., v."
221,drive ,v.
222,driver ,n.
223,during ,prep.
224,DVD ,n.
225,each ,det./pron./adv.
226,ear ,n.
227,early ,"adj., adv."
228,east ,"n., adj., adv."
229,easy ,adj.
230,eat ,v.
231,egg ,n.
232,eight ,number
233,eighteen ,number
234,eighty ,number
235,elephant ,n.
236,eleven ,number
237,else ,adv.
238,email ,"n., v."
239,end ,"n., v."
240,enjoy ,v.
241,enough ,"det., pron., adv."
242,euro ,n.
243,even ,adv.
244,evening ,n.
245,event ,n.
246,ever ,adv.
247,every ,det.
248,everybody ,pron.
249,everyone ,pron.
250,everything ,pron.
251,exam ,n.
252,example ,n.
253,excited ,adj.
254,exciting ,adj.
255,exercise ,"n., v."
256,expensive ,adj.
257,explain ,v.
258,extra ,adj.
259,eye ,n.
260,face ,n.
261,fact ,n.
262,fall ,"v., n."
263,false ,adj.
264,family ,"n., adj."
265,famous ,adj.
266,fantastic ,adj.
267,far ,adv.
268,farm ,n.
269,farmer ,n.
270,fast ,"adj., adv."
271,fat ,adj.
272,father ,n.
273,favorite ,"adj., n."
274,February ,n.
275,feel ,v.
276,feeling ,n.
277,festival ,n.
278,few ,"det./adj., pron."
279,fifteen ,number
280,fifth ,number
281,fifty ,number
282,fill ,v.
283,final ,adj.
284,find ,v.
285,fine ,adj.
286,finish ,v.
287,fire ,n.
288,first ,"det./number, adv."
289,fish ,n.
290,five ,number
291,flight ,n.
292,floor ,n.
293,flower ,n.
294,fly ,v.
295,follow ,v.
296,food ,n.
297,foot ,n.
298,football ,n.
299,for ,prep.
300,forget ,v.
301,form ,"n., v."
302,forty ,number
303,four ,number
304,fourteen ,number
305,fourth ,number
306,free ,adj.
307,Friday ,n.
308,friend ,n.
309,friendly ,adj.
310,from ,prep.
311,front ,"n., adj."
312,fruit ,n.
313,full ,adj.
314,fun ,n.
315,funny ,adj.
316,future ,n.
317,game ,n.
318,garden ,n.
319,geography ,n.
320,get ,v.
321,girl ,n.
322,girlfriend ,n.
323,give ,v.
324,glass ,n.
325,go ,v.
326,good ,adj.
327,goodbye ,exclam./n.
328,grandfather ,n.
329,grandmother ,n.
330,grandparent ,n.
331,gray ,"adj., n."
332,great ,adj.
333,green ,"adj., n."
334,group ,n.
335,grow ,v.
336,guess ,"v., n."
337,guitar ,n.
338,gym ,n.
339,hair ,n.
340,half ,"n., det./pron."
341,hand ,n.
342,happen ,v.
343,happy ,adj.
344,hard ,"adj., adv."
345,hat ,n.
346,hate ,v.
347,have ,v.
348,have to, modal v.
349,he ,pron.
350,head ,n.
351,health ,n.
352,healthy ,adj.
353,hear ,v.
354,hello ,exclam./n.
355,help ,"v., n."
356,her ,"pron., det."
357,here ,adv.
358,hey ,exclam.
359,hi ,exclam.
360,high ,adj.
361,him ,pron.
362,his ,det.
363,history ,n.
364,hobby ,n.
365,home ,"n., adv."
366,homework ,n.
367,hope ,v.
368,horse ,n.
369,hospital ,n.
370,hot ,adj.
371,hotel ,n.
372,hour ,n.
373,house ,n.
374,how ,adv.
375,however ,adv.
376,hundred ,number
377,hungry ,adj.
378,husband ,n.
379,I ,pron.
380,ice ,n.
381,ice cream, n.
382,idea ,n.
383,if ,conj.
384,imagine ,v.
385,important ,adj.
386,improve ,v.
387,in ,"prep., adv."
388,include ,v.
389,information ,n.
390,interest ,"n., v."
391,interested ,adj.
392,interesting ,adj.
393,internet ,n.
394,interview ,"n., v."
395,into ,prep.
396,introduce ,v.
397,island ,n.
398,it ,pron.
399,its ,det.
400,jacket ,n.
401,January ,n.
402,jeans ,n.
403,job ,n.
404,join ,v.
405,juice ,n.
406,July ,n.
407,June ,n.
408,just ,adv.
409,keep ,v.
410,key ,"n., adj."
411,kind , n.
412,kitchen ,n.
413,know ,v.
414,land ,n.
415,language ,n.
416,large ,adj.
417,last, det.
418,late ,"adj., adv."
419,later ,adv.
420,laugh ,"v., n."
421,learn ,v.
422,leave ,v.
423,left ,"adj., adv., n."
424,leg ,n.
425,lesson ,n.
426,let ,v.
427,letter ,n.
428,library ,n.
429,lie,v.
430,life ,n.
431,light ," n., "
432,adj.,
433,like , prep.
434,like , v.
435,line ,n.
436,lion ,n.
437,list ,"n., v."
438,listen ,v.
439,little ,"adj., det./pron."
440,live,v.
441,local ,adj.
442,long,"adj., adv."
443,look ,v.
444,lose ,v.
445,lot ,"pron., det., adv."
446,love ,"n., v."
447,lunch ,n.
448,machine ,n.
449,magazine ,n.
450,main ,adj.
451,make ,v.
452,mall ,n. 
453,man ,n.
454,many ,det./pron.
455,map ,n.
456,March ,n.
457,market ,n.
458,married ,adj.
459,match ,"n., v."
460,May ,n.
461,maybe ,adv.
462,me ,pron.
463,meal ,n.
464,mean ,v.
465,meaning ,n.
466,meat ,n.
467,meet ,v.
468,meeting ,n.
469,member ,n.
470,menu ,n.
471,message ,n.
472,meter ,n.
473,midnight ,n.
474,mile ,n.
475,milk ,n.
476,million ,number
477,minute,n.
478,miss ,v.
479,mistake ,n.
480,model ,n.
481,modern ,adj.
482,mom ,n.
483,moment ,n.
484,Monday ,n.
485,money ,n.
486,month ,n.
487,more ,"det./pron., adv."
488,morning ,n.
489,most ,"det./pron., adv."
490,mother ,n.
491,mountain ,n.
492,mouse ,n.
493,mouth ,n.
494,move ,v.
495,movie ,n.
496,much ,"det./pron., adv."
497,museum ,n.
498,music ,n.
499,must ,modal v.
500,my ,det.
501,name ,"n., v."
502,natural ,adj.
503,near ,"prep., adj., adv."
504,need ,v.
505,negative ,adj.
506,neighbor ,n.
507,neighborhood ,n.
508,never ,adv.
509,new ,adj.
510,news ,n.
511,newspaper ,n.
512,next ,"adj., adv."
513,next to, prep.
514,nice ,adj.
515,night ,n.
516,nine ,number
517,nineteen ,number
518,ninety ,number
519,no ,"exclam., det."
520,no one, pron.
521,nobody ,pron.
522,north ,"n., adj., adv."
523,nose ,n.
524,not ,adv.
525,note ,n.
526,nothing ,pron.
527,November ,n.
528,now ,adv.
529,number ,n.
530,nurse ,n.
