,0,1,2,3,4
0,"a, an ",indefinite article,,,
1,about ,prep.,adv.,,
2,about ,prep.,adv.,,
3,above ,prep.,adv.,,
4,above ,prep.,adv.,,
5,across ,prep.,adv.,,
6,across ,prep.,adv.,,
7,action ,n.,,,
8,activity ,n.,,,
9,actor ,n.,,,
10,actress ,n.,,,
11,add ,v.,,,
12,address ,n.,,,
13,adult ,n.,,,
14,advice ,n.,,,
15,afraid ,adj.,,,
16,after ,prep.,,,
17,afternoon ,n.,,,
18,again ,adv.,,,
19,age ,n.,,,
20,ago ,adv.,,,
21,agree ,v.,,,
22,air ,n.,,,
23,airport ,n.,,,
24,all ,det.,pron.,,
25,all ,det.,pron.,,
26,also ,adv.,,,
27,always ,adv.,,,
28,amazing ,adj.,,,
29,and ,conj.,,,
30,angry ,adj.,,,
31,animal ,n.,,,
32,another ,det./pron.,,,
33,answer ,n.,v.,,
34,answer ,n.,v.,,
35,any ,det.,pron.,,
36,any ,det.,pron.,,
37,anyone ,pron.,,,
38,anything ,pron.,,,
39,apartment ,n.,,,
40,apple ,n.,,,
41,April ,n.,,,
42,area ,n.,,,
43,arm ,n.,,,
44,around ,prep.,adv.,,
45,around ,prep.,adv.,,
46,arrive ,v.,,,
47,art ,n.,,,
48,article ,n.,,,
49,artist ,n.,,,
50,as ,prep.,,,
51,ask ,v.,,,
52,at ,prep.,,,
53,August ,n.,,,
54,aunt ,n.,,,
55,autumn ,n.,,,
56,away ,adv.,,,
57,baby ,n.,,,
58,back ,n.,adv.,,
59,back ,n.,adv.,,
60,bad ,adj.,,,
61,bag ,n.,,,
62,ball ,n.,,,
63,banana ,n.,,,
64,band ,n.,,,
65,bank ,n.,,,
66,bath ,n.,,,
67,bathroom ,n.,,,
68,be ,v.,auxiliary v.,,
69,be ,v.,auxiliary v.,,
70,beach ,n.,,,
71,beautiful ,adj.,,,
72,because ,conj.,,,
73,become ,v.,,,
74,bed ,n.,,,
75,bedroom ,n.,,,
76,beer ,n.,,,
77,before ,prep.,,,
78,begin ,v.,,,
79,beginning ,n.,,,
80,behind ,prep.,adv.,,
81,behind ,prep.,adv.,,
82,believe ,v.,,,
83,below ,adv.,prep.,,
84,below ,adv.,prep.,,
85,best ,adj.,,,
86,better ,adj.,,,
87,between ,prep.,,,
88,bicycle ,n.,,,
89,big ,adj.,,,
90,bike ,n.,,,
91,bill ,n.,,,
92,bird ,n.,,,
93,birthday ,n.,,,
94,black ,adj.,n.,,
95,black ,adj.,n.,,
96,blog ,n.,,,
97,blonde ,adj.,,,
98,blue ,adj.,n.,,
99,blue ,adj.,n.,,
100,boat ,n.,,,
101,body ,n.,,,
102,book ,n.,,,
103,boot ,n.,,,
104,bored ,adj.,,,
105,boring ,adj.,,,
106,born ,v.,,,
107,both ,det./pron.,,,
108,bottle ,n.,,,
109,box ,n.,,,
110,boy ,n.,,,
111,boyfriend ,n.,,,
112,bread ,n.,,,
113,break ,v.,n.,,
114,break ,v.,n.,,
115,breakfast ,n.,,,
116,bring ,v.,,,
117,brother ,n.,,,
118,brown ,adj.,n.,,
119,brown ,adj.,n.,,
120,build ,v.,,,
121,building ,n.,,,
122,bus ,n.,,,
123,business ,n.,,,
124,busy ,adj.,,,
125,but ,conj.,,,
126,butter ,n.,,,
127,buy ,v.,,,
128,by ,prep.,,,
129,bye ,exclam.,,,
130,cafe ,n.,,,
131,cake ,n.,,,
132,call ,v.,n.,,
133,call ,v.,n.,,
134,camera ,n.,,,
135,can1 ,modal v.,,,
136,cannot ,modal v.,,,
137,capital ,n.,adj.,,
138,capital ,n.,adj.,,
139,car ,n.,,,
140,card ,n.,,,
141,career ,n.,,,
142,carrot ,n.,,,
143,carry ,v.,,,
144,cat ,n.,,,
145,CD ,n.,,,
146,cent ,n.,,,
147,centre ,n.,,,
148,century ,n.,,,
149,chair ,n.,,,
150,change ,v.,n.,,
151,change ,v.,n.,,
152,chart ,n.,,,
153,cheap ,adj.,,,
154,check ,v.,,,
155,cheese ,n.,,,
156,chicken ,n.,,,
157,child ,n.,,,
158,chocolate ,n.,,,
159,choose ,v.,,,
160,cinema ,n.,,,
161,city ,n.,,,
162,class ,n.,,,
163,classroom ,n.,,,
164,clean ,adj.,v.,,
165,clean ,adj.,v.,,
166,climb ,v.,,,
167,clock ,n.,,,
168,close1 ,v.,,,
169,clothes ,n.,,,
170,club ,n.,,,
171,coat ,n.,,,
172,coffee ,n.,,,
173,cold ,adj.,n.,,
174,cold ,adj.,n.,,
175,college ,n.,,,
176,colour ,n.,,,
177,come ,v.,,,
178,common ,adj.,,,
179,company ,n.,,,
180,compare ,v.,,,
181,complete ,adj.,v.,,
182,complete ,adj.,v.,,
183,computer ,n.,,,
184,concert ,n.,,,
185,conversation ,n.,,,
186,cook ,v.,,,
187,cooking ,n.,,,
188,cool ,adj.,,,
189,correct ,adj.,v.,,
190,correct ,adj.,v.,,
191,cost ,n.,v.,,
192,cost ,n.,v.,,
193,could ,modal v.,,,
194,country ,n.,,,
195,course ,n.,,,
196,cousin ,n.,,,
197,cow ,n.,,,
198,cream ,n.,,,
199,create ,v.,,,
200,culture ,n.,,,
201,cup ,n.,,,
202,customer ,n.,,,
203,cut ,v.,,,
204,dad ,n.,,,
205,dance ,n.,v.,,
206,dance ,n.,v.,,
207,dancer ,n.,,,
208,dancing ,n.,,,
209,dangerous ,adj.,,,
210,dark ,adj.,,,
211,date ,n.,,,
212,daughter ,n.,,,
213,day ,n.,,,
214,dear ,adj.,,,
215,December ,n.,,,
216,decide ,v.,,,
217,delicious ,adj.,,,
218,describe ,v.,,,
219,description ,n.,,,
220,design ,n.,v.,,
221,design ,n.,v.,,
222,desk ,n.,,,
223,detail ,n.,,,
224,dialogue ,n.,,,
225,dictionary ,n.,,,
226,die ,v.,,,
227,diet ,n.,,,
228,difference ,n.,,,
229,different ,adj.,,,
230,difficult ,adj.,,,
231,dinner ,n.,,,
232,dirty ,adj.,,,
233,discuss ,v.,,,
234,dish ,n.,,,
235,do1 ,v.,auxiliary v.,,
236,do1 ,v.,auxiliary v.,,
237,doctor ,n.,,,
238,dog ,n.,,,
239,dollar ,n.,,,
240,door ,n.,,,
241,down ,adv.,prep.,,
242,down ,adv.,prep.,,
243,downstairs ,adv.,,,
244,draw ,v.,,,
245,dress ,n.,v.,,
246,dress ,n.,v.,,
247,drink ,n.,v.,,
248,drink ,n.,v.,,
249,drive ,v.,,,
250,driver ,n.,,,
251,during ,prep.,,,
252,DVD ,n.,,,
253,each ,det./pron./adv.,,,
254,ear ,n.,,,
255,early ,adj.,adv.,,
256,early ,adj.,adv.,,
257,east ,n.,adj.,adv.,
258,east ,n.,adj.,adv.,
259,east ,n.,adj.,adv.,
260,easy ,adj.,,,
261,eat ,v.,,,
262,egg ,n.,,,
263,eight ,number,,,
264,eighteen ,number,,,
265,eighty ,number,,,
266,elephant ,n.,,,
267,eleven ,number,,,
268,else ,adv.,,,
269,email ,n.,v.,,
270,email ,n.,v.,,
271,end ,n.,v.,,
272,end ,n.,v.,,
273,enjoy ,v.,,,
274,enough ,det.,pron.,adv.,
275,enough ,det.,pron.,adv.,
276,enough ,det.,pron.,adv.,
277,euro ,n.,,,
278,even ,adv.,,,
279,evening ,n.,,,
280,event ,n.,,,
281,ever ,adv.,,,
282,every ,det.,,,
283,everybody ,pron.,,,
284,everyone ,pron.,,,
285,everything ,pron.,,,
286,exam ,n.,,,
287,example ,n.,,,
288,excited ,adj.,,,
289,exciting ,adj.,,,
290,exercise ,n.,v.,,
291,exercise ,n.,v.,,
292,expensive ,adj.,,,
293,explain ,v.,,,
294,extra ,adj.,,,
295,eye ,n.,,,
296,face ,n.,,,
297,fact ,n.,,,
298,fall ,v.,,,
299,false ,adj.,,,
300,family ,n.,adj.,,
301,family ,n.,adj.,,
302,famous ,adj.,,,
303,fantastic ,adj.,,,
304,far ,adv.,,,
305,farm ,n.,,,
306,farmer ,n.,,,
307,fast ,adj.,adv.,,
308,fast ,adj.,adv.,,
309,fat ,adj.,,,
310,father ,n.,,,
311,favourite ,adj.,n.,,
312,favourite ,adj.,n.,,
313,February ,n.,,,
314,feel ,v.,,,
315,feeling ,n.,,,
316,festival ,n.,,,
317,few ,det./adj.,pron.,,
318,few ,det./adj.,pron.,,
319,fifteen ,number,,,
320,fifth ,number,,,
321,fifty ,number,,,
322,fill ,v.,,,
323,film ,n.,,,
324,final ,adj.,,,
325,find ,v.,,,
326,fine ,adj.,,,
327,finish ,v.,,,
328,fire ,n.,,,
329,first ,det./number,adv.,,
330,first ,det./number,adv.,,
331,fish ,n.,,,
332,five ,number,,,
333,flat ,n.,,,
334,flight ,n.,,,
335,floor ,n.,,,
336,flower ,n.,,,
337,fly ,v.,,,
338,follow ,v.,,,
339,food ,n.,,,
340,foot ,n.,,,
341,football ,n.,,,
342,for ,prep.,,,
343,forget ,v.,,,
344,form ,n.,v.,,
345,form ,n.,v.,,
346,forty ,number,,,
347,four ,number,,,
348,fourteen ,number,,,
349,fourth ,number,,,
350,free ,adj.,,,
351,Friday ,n.,,,
352,friend ,n.,,,
353,friendly ,adj.,,,
354,from ,prep.,,,
355,front ,n.,adj.,,
356,front ,n.,adj.,,
357,fruit ,n.,,,
358,full ,adj.,,,
359,fun ,n.,,,
360,funny ,adj.,,,
361,future ,n.,,,
362,game ,n.,,,
363,garden ,n.,,,
364,geography ,n.,,,
365,get ,v.,,,
366,girl ,n.,,,
367,girlfriend ,n.,,,
368,give ,v.,,,
369,glass ,n.,,,
370,go ,v.,,,
371,good ,adj.,,,
372,goodbye ,exclam./n.,,,
373,grandfather ,n.,,,
374,grandmother ,n.,,,
375,grandparent ,n.,,,
376,great ,adj.,,,
377,green ,adj.,n.,,
378,green ,adj.,n.,,
379,grey ,adj.,n.,,
380,grey ,adj.,n.,,
381,group ,n.,,,
382,grow ,v.,,,
383,guess ,v.,n.,,
384,guess ,v.,n.,,
385,guitar ,n.,,,
386,gym ,n.,,,
387,hair ,n.,,,
388,half ,n.,det./pron.,,
389,half ,n.,det./pron.,,
390,hand ,n.,,,
391,happen ,v.,,,
392,happy ,adj.,,,
393,hard ,adj.,adv.,,
394,hard ,adj.,adv.,,
395,hat ,n.,,,
396,hate ,v.,,,
397,have ,v.,,,
