,name,type,label,exclam.,det.,conj.,number,pron.,prep.,adv.,adj.,v.,n.
0,"a, an", indefinite article,A1,0,0,0,0,0,0,0,0,0,0
1,about ,"prep., adv.",A1,0,0,0,0,0,1,0,0,0,0
2,above ,"prep., adv.",A1,0,0,0,0,0,1,0,0,0,0
3,across ,"prep., adv.",A1,0,0,0,0,0,1,0,0,0,0
4,action ,n.,A1,0,0,0,0,0,0,0,0,0,1
5,activity ,n.,A1,0,0,0,0,0,0,0,0,0,1
6,actor ,n.,A1,0,0,0,0,0,0,0,0,0,1
7,actress ,n.,A1,0,0,0,0,0,0,0,0,0,1
8,add ,v.,A1,0,0,0,0,0,0,0,0,1,0
9,address ,n.,A1,0,0,0,0,0,0,0,0,0,1
10,adult ,n.,A1,0,0,0,0,0,0,0,0,0,1
11,advice ,n.,A1,0,0,0,0,0,0,0,0,0,1
12,afraid ,adj.,A1,0,0,0,0,0,0,0,1,0,0
13,after ,prep.,A1,0,0,0,0,0,1,0,0,0,0
14,afternoon ,n.,A1,0,0,0,0,0,0,0,0,0,1
15,again ,adv.,A1,0,0,0,0,0,0,1,0,0,0
16,age ,n.,A1,0,0,0,0,0,0,0,0,0,1
17,ago ,adv.,A1,0,0,0,0,0,0,1,0,0,0
18,agree ,v.,A1,0,0,0,0,0,0,0,0,1,0
19,air ,n.,A1,0,0,0,0,0,0,0,0,0,1
20,airport ,n.,A1,0,0,0,0,0,0,0,0,0,1
21,all ,"det., pron.",A1,0,1,0,0,0,0,0,0,0,0
22,also ,adv.,A1,0,0,0,0,0,0,1,0,0,0
23,always ,adv.,A1,0,0,0,0,0,0,1,0,0,0
24,amazing ,adj.,A1,0,0,0,0,0,0,0,1,0,0
25,and ,conj.,A1,0,0,1,0,0,0,0,0,0,0
26,angry ,adj.,A1,0,0,0,0,0,0,0,1,0,0
27,animal ,n.,A1,0,0,0,0,0,0,0,0,0,1
28,another ,det./pron.,A1,0,0,0,0,0,0,0,0,0,0
29,answer ,"n., v.",A1,0,0,0,0,0,0,0,0,0,1
30,any ,"det., pron.",A1,0,1,0,0,0,0,0,0,0,0
31,anyone ,pron.,A1,0,0,0,0,1,0,0,0,0,0
32,anything ,pron.,A1,0,0,0,0,1,0,0,0,0,0
33,apartment ,n.,A1,0,0,0,0,0,0,0,0,0,1
34,apple ,n.,A1,0,0,0,0,0,0,0,0,0,1
35,April ,n.,A1,0,0,0,0,0,0,0,0,0,1
36,area ,n.,A1,0,0,0,0,0,0,0,0,0,1
37,arm ,n.,A1,0,0,0,0,0,0,0,0,0,1
38,around ,"prep., adv.",A1,0,0,0,0,0,1,0,0,0,0
39,arrive ,v.,A1,0,0,0,0,0,0,0,0,1,0
40,art ,n.,A1,0,0,0,0,0,0,0,0,0,1
41,article ,n.,A1,0,0,0,0,0,0,0,0,0,1
42,artist ,n.,A1,0,0,0,0,0,0,0,0,0,1
43,as ,prep.,A1,0,0,0,0,0,1,0,0,0,0
44,ask ,v.,A1,0,0,0,0,0,0,0,0,1,0
45,at ,prep.,A1,0,0,0,0,0,1,0,0,0,0
46,August ,n.,A1,0,0,0,0,0,0,0,0,0,1
47,aunt ,n.,A1,0,0,0,0,0,0,0,0,0,1
48,away ,adv.,A1,0,0,0,0,0,0,1,0,0,0
49,awesome ,adj. ,A1,0,0,0,0,0,0,0,0,0,0
50,baby ,n.,A1,0,0,0,0,0,0,0,0,0,1
51,back ,"n., adv.",A1,0,0,0,0,0,0,0,0,0,1
52,bad ,adj.,A1,0,0,0,0,0,0,0,1,0,0
53,bag ,n.,A1,0,0,0,0,0,0,0,0,0,1
54,ball ,n.,A1,0,0,0,0,0,0,0,0,0,1
55,banana ,n.,A1,0,0,0,0,0,0,0,0,0,1
56,band ,n.,A1,0,0,0,0,0,0,0,0,0,1
57,bank , n.,A1,0,0,0,0,0,0,0,0,0,0
58,bar ,n.,A1,0,0,0,0,0,0,0,0,0,1
59,baseball ,n.,A1,0,0,0,0,0,0,0,0,0,1
60,basketball ,n.,A1,0,0,0,0,0,0,0,0,0,1
61,bath ,n.,A1,0,0,0,0,0,0,0,0,0,1
62,bathroom ,n.,A1,0,0,0,0,0,0,0,0,0,1
63,be ,"v., auxiliary v.",A1,0,0,0,0,0,0,0,0,1,0
64,beach ,n.,A1,0,0,0,0,0,0,0,0,0,1
65,beautiful ,adj.,A1,0,0,0,0,0,0,0,1,0,0
66,because ,conj.,A1,0,0,1,0,0,0,0,0,0,0
67,become ,v.,A1,0,0,0,0,0,0,0,0,1,0
68,bed ,n.,A1,0,0,0,0,0,0,0,0,0,1
69,bedroom ,n.,A1,0,0,0,0,0,0,0,0,0,1
70,beer ,n.,A1,0,0,0,0,0,0,0,0,0,1
71,before ,prep.,A1,0,0,0,0,0,1,0,0,0,0
72,begin ,v.,A1,0,0,0,0,0,0,0,0,1,0
73,beginning ,n.,A1,0,0,0,0,0,0,0,0,0,1
74,behind ,"prep., adv.",A1,0,0,0,0,0,1,0,0,0,0
75,believe ,v.,A1,0,0,0,0,0,0,0,0,1,0
76,below ,"adv., prep.",A1,0,0,0,0,0,0,1,0,0,0
77,best ,adj.,A1,0,0,0,0,0,0,0,1,0,0
78,better ,adj.,A1,0,0,0,0,0,0,0,1,0,0
79,between ,prep.,A1,0,0,0,0,0,1,0,0,0,0
80,bicycle ,n.,A1,0,0,0,0,0,0,0,0,0,1
81,big ,adj.,A1,0,0,0,0,0,0,0,1,0,0
82,bike ,n.,A1,0,0,0,0,0,0,0,0,0,1
83,bill ,n.,A1,0,0,0,0,0,0,0,0,0,1
84,bird ,n.,A1,0,0,0,0,0,0,0,0,0,1
85,birthday ,n.,A1,0,0,0,0,0,0,0,0,0,1
86,black ,"adj., n.",A1,0,0,0,0,0,0,0,1,0,0
87,blog ,n.,A1,0,0,0,0,0,0,0,0,0,1
88,blond ,adj.,A1,0,0,0,0,0,0,0,1,0,0
89,blue ,"adj., n.",A1,0,0,0,0,0,0,0,1,0,0
90,boat ,n.,A1,0,0,0,0,0,0,0,0,0,1
91,body ,n.,A1,0,0,0,0,0,0,0,0,0,1
92,book ,n.,A1,0,0,0,0,0,0,0,0,0,1
93,boot ,n.,A1,0,0,0,0,0,0,0,0,0,1
94,bored ,adj.,A1,0,0,0,0,0,0,0,1,0,0
95,boring ,adj.,A1,0,0,0,0,0,0,0,1,0,0
96,born ,v.,A1,0,0,0,0,0,0,0,0,1,0
97,both ,det./pron.,A1,0,0,0,0,0,0,0,0,0,0
98,bottle ,n.,A1,0,0,0,0,0,0,0,0,0,1
99,box ,n.,A1,0,0,0,0,0,0,0,0,0,1
100,boy ,n.,A1,0,0,0,0,0,0,0,0,0,1
101,boyfriend ,n.,A1,0,0,0,0,0,0,0,0,0,1
102,bread ,n.,A1,0,0,0,0,0,0,0,0,0,1
103,break ,"v., n.",A1,0,0,0,0,0,0,0,0,1,0
104,breakfast ,n.,A1,0,0,0,0,0,0,0,0,0,1
105,bring ,v.,A1,0,0,0,0,0,0,0,0,1,0
106,brother ,n.,A1,0,0,0,0,0,0,0,0,0,1
107,brown ,"adj., n.",A1,0,0,0,0,0,0,0,1,0,0
108,build ,v.,A1,0,0,0,0,0,0,0,0,1,0
109,building ,n.,A1,0,0,0,0,0,0,0,0,0,1
110,bus ,n.,A1,0,0,0,0,0,0,0,0,0,1
111,business ,n.,A1,0,0,0,0,0,0,0,0,0,1
112,busy ,adj.,A1,0,0,0,0,0,0,0,1,0,0
113,but ,conj.,A1,0,0,1,0,0,0,0,0,0,0
114,butter ,n.,A1,0,0,0,0,0,0,0,0,0,1
115,buy ,v.,A1,0,0,0,0,0,0,0,0,1,0
116,by ,prep.,A1,0,0,0,0,0,1,0,0,0,0
117,bye ,exclam.,A1,1,0,0,0,0,0,0,0,0,0
118,cafe ,n.,A1,0,0,0,0,0,0,0,0,0,1
119,cake ,n.,A1,0,0,0,0,0,0,0,0,0,1
120,call ,"v., n.",A1,0,0,0,0,0,0,0,0,1,0
121,camera ,n.,A1,0,0,0,0,0,0,0,0,0,1
122,can,modal v.,A1,0,0,0,0,0,0,0,0,0,0
123,cannot ,modal v.,A1,0,0,0,0,0,0,0,0,0,0
124,capital ,"n., adj.",A1,0,0,0,0,0,0,0,0,0,1
125,car ,n.,A1,0,0,0,0,0,0,0,0,0,1
126,card ,n.,A1,0,0,0,0,0,0,0,0,0,1
127,career ,n.,A1,0,0,0,0,0,0,0,0,0,1
128,carrot ,n.,A1,0,0,0,0,0,0,0,0,0,1
129,carry ,v.,A1,0,0,0,0,0,0,0,0,1,0
130,cat ,n.,A1,0,0,0,0,0,0,0,0,0,1
131,CD ,n.,A1,0,0,0,0,0,0,0,0,0,1
132,cent ,n.,A1,0,0,0,0,0,0,0,0,0,1
133,center ,n.,A1,0,0,0,0,0,0,0,0,0,1
