,0
0,accidents  will  happen
1,of  your  own  accord
2,there's  no  accounting  for tastes
3,have  an ace up  your  sleeve
4,hold  all the aces
5,play  your  ace
6,within  an ace of
7,an  Achilles  heel
8,the  acid  test
9,come  the  acid
10,put  the  acid  on someone
11, across  something
12, your  age
13, your  act together
14,action  stations
15, piece of the  action:
16,where  the action is
17,your  actual
18, know someone  from  Adam
19, admirable  Crichton
20,cast  cut  someone  adrift
21,any  advance  on
22,for  Africa
23,be  after  doing  something
24,act  your  age:
25,come  of age Q
26, hidden  agenda:
27,pile  agony:
28,prolong  agony:
29,agree  to  differ
30, gentleman's  agreement:
31,ahead  of the game
32,ahead  of  your
33,aid  and abet
34,1986  Frank
35,in  aid of
36,what's  all  this  in aid of?
37,airs  and  graces
38,give  yourself  airs
39,hot  air:
40,up  in the  air
41, off the  air
42,take  the  air
43,walk  on  air
44,1977  Bernard  MacLaverty
45,have  people  rolling  in the  aisles  ©make
46,O1940  P.  G.  Wodehouse
47,drop  your  aitches:
48,an  Aladdin's  cave
49,an  Aladdin's  lamp
50,alarms  and  excursions
51,alive  and  kicking
52,1991  Mark  Tully
53,alive  and well
54,all  and  sundry
55,all  comers
56,1992  AI  Gore
57,all  my eye and  Betty  Martin:
58,all  of
59,1995  Bill  Bryson
60,all  out
61,all  over  the  place
62,all  round  ©in
63,"all-singing,  all-dancing"
64, all  that
65, all  there
66,give  get the  all-clear
67, your  alley:
68,along  about
69,alpha  and omega
70,altar  of
71, the  altogether
72, American  as  apple  pie
73, American  dream
74, the  final  analysis
75,as  arm
76,put  arm
77,up  arms
78,an  armchair
79,you and  army?
80,a  arse:
81,art  art's
82,be art and  part
83, it  were
84, the  ascendant
85,dust  and  ashes:
86,rake  over  the  ashes:
87,rise  from  the  ashes:
88,turn  to ashes in  your  mouth
89, me  another!
90,don't  ask me!
91, the  asking
92,asleep  at the wheel
93,bust  your  ass
94,chew  someone's ass
95,cover  your  ass
96,drag  haul  ass
97, your  ass in  gear
98,kick  some ass
99, kick  someone's
100,kiss  ass:
101, give  rat's  ass
102, someone's ass in  sling
103,whip  bust someone's ass
104, the  back  of
105,someone's  back  is  turned
106, Orson  Scott  Card
107,take  a  back  seat
108, back-seat  driver  Q
109,know  something  backwards
110, William  Trevor
111, bald  as a coot
112, ball  and  chain
113, ball  is in someone's  court
114, ball  of  fire
115,have  a  ball
116,have  the  ball  at  your  feet
117,have  a lot on the  ball
118,keep  the  ball  rolling
119,keep  your  eye on
120, the  ball
121,play  ball
122,start  ball  rolling
123, whole new  ball  game
124,go  ballistic
125,go down  like  a lead  balloon:
126,when  before  the balloon goes up
127, the  ballpark
128, bamboo  curtain
129,banana  republic
130,go  bananas
131,second  banana
132,top  banana
133,when  the  band  begins  to  play
134,jump  on the  bandwagon
135,bang  for  your  or  the  buck
136,bang  goes
137,get  a  bang  out of
138,go  with  a  bang
139,break  the  bank  Qin
140,under  the  banner  of Q
141,a  baptism  of  fire
142,bar  none
143,the  bare  bones
144,with  a  bargepole
145,bark  up  the  wrong  tree
146, Arnold  Bennett
147, barrel  of  laughs
148, someone  over  a  barrel
149,scrape  the  barrel:
150,with  both  barrels
151, the  barrelhead:
152, on the  nail
153, go to the  barricades
154,get  to  first  base
155,touch  base
156, Armistead  Maupin
157,back  to  basics
158,c-1901  Peck
159,like  a bat out of hell
160, Patrick  McCabe
161,not  bat  eyelid
162, James  Ryan
163, your  own bat
164,with  bated  breath
165, early  bath
166,take  a  bath
167,pass  hand  on the baton
168,under  the baton of
169,batten  down the  hatches
170,battle  of the  giants
171,battle  royal
172,battle  stations
173,half  the battle
174, there  for  someone
175, be-all  and end-all
176,draw  get a bead on
177, beam in  your  eye
178,broad  in the  beam:
179, your  beam ends
180,full  of beans
181,give  someone beans
182, hill  row of beans
183, have  a bean
184,spill  the  beans:
185,bear  the  brunt  of:
186,grin  and  bear
187,have  your  cross  to  bear:
188,like  bear  with  sore  head
189,loaded  for  bear
190,beard  the lion in his den
191,beat  a  hasty  retreat
192,beat  about the bush
193,beat  your  breast:
194,beat  the daylights out of:
195,beat  the drum  for:
196,miss  a  beat:
197,1995  Patrick
198,"bell,  book, and  candle"
199,bell  the cat
200,bells  and  whistles
201,as  clear  or  sound  as a bell
202,give  someone a bell
203,ring  a bell
204,with  bells on
205,1989  Mary
206,belle  of the  ball
207,have  a  bellyful  of
208,below  stairs
209,below  the belt
210,belt  and  braces
211,tighten  your  belt
212,under  your  belt  Q
213,bend  someone's  ear
214,bend  your  elbow
215,bend  over  backwards:
216,round  the bend or  twist
217,all  are
218,don't  bet on it
219,better  the devil you know
220,better  late  than  never
221,better  safe  than  sorry
222, better  to
